Name,Year,Rating
The Shawshank Redemption,1994,9.3 (3.1M)
The Godfather,1972,9.2 (2.2M)
The Dark Knight,2008,9.1 (3.1M)
The Godfather Part II,1974,9.0 (1.4M)
12 Angry Men,1957,9.0 (946K)
The Lord of the Rings: The Return of the King,2003,9.0 (2.1M)
Schindler's List,1993,9.0 (1.5M)
Pulp Fiction,1994,8.8 (2.4M)
The Lord of the Rings: The Fellowship of the Ring,2001,8.9 (2.1M)
"The Good, the Bad and the Ugly",1966,8.8 (867K)
Forrest Gump,1994,8.8 (2.4M)
The Lord of the Rings: The Two Towers,2002,8.8 (1.9M)
Fight Club,1999,8.8 (2.5M)
Inception,2010,8.8 (2.7M)
Star Wars: Episode V - The Empire Strikes Back,1980,8.7 (1.5M)
The Matrix,1999,8.7 (2.2M)
GoodFellas,1990,8.7 (1.3M)
Interstellar,2014,8.7 (2.4M)
One Flew Over the Cuckoo's Nest,1975,8.7 (1.1M)
Seven,1995,8.6 (1.9M)
It's a Wonderful Life,1946,8.6 (534K)
The Silence of the Lambs,1991,8.6 (1.7M)
Seven Samurai,1954,8.6 (390K)
Saving Private Ryan,1998,8.6 (1.6M)
The Green Mile,1999,8.6 (1.5M)
City of God,2002,8.6 (848K)
Life Is Beautiful,1997,8.6 (789K)
Terminator 2: Judgment Day,1991,8.6 (1.2M)
Star Wars: Episode IV - A New Hope,1977,8.6 (1.5M)
Back to the Future,1985,8.5 (1.4M)
Spirited Away,2001,8.6 (928K)
The Pianist,2002,8.5 (982K)
Gladiator,2000,8.5 (1.8M)
Parasite,2019,8.5 (1.1M)
Psycho,1960,8.5 (762K)
The Lion King,1994,8.5 (1.2M)
Grave of the Fireflies,1988,8.5 (360K)
The Departed,2006,8.5 (1.5M)
Whiplash,2014,8.5 (1.1M)
Harakiri,1962,8.6 (83K)
The Prestige,2006,8.5 (1.5M)
American History X,1998,8.5 (1.2M)
Leon,1994,8.5 (1.3M)
Spider-Man: Across the Spider-Verse,2023,8.5 (478K)
Casablanca,1942,8.5 (639K)
Cinema Paradiso,1988,8.5 (306K)
Untouchable,2011,8.5 (992K)
The Usual Suspects,1995,8.5 (1.2M)
Alien,1979,8.5 (1M)
Modern Times,1936,8.5 (276K)
Rear Window,1954,8.5 (554K)
Django Unchained,2012,8.5 (1.8M)
Once Upon a Time in the West,1968,8.5 (373K)
City Lights,1931,8.5 (209K)
Apocalypse Now,1979,8.4 (751K)
WALL·E,2008,8.4 (1.3M)
Memento,2000,8.4 (1.4M)
Dune: Part Two,2024,8.5 (662K)
Raiders of the Lost Ark,1981,8.4 (1.1M)
Avengers: Infinity War,2018,8.4 (1.3M)
The Lives of Others,2006,8.4 (432K)
Sunset Blvd,1950,8.4 (252K)
Spider-Man: Into the Spider-Verse,2018,8.4 (750K)
Witness for the Prosecution,1957,8.4 (153K)
Paths of Glory,1957,8.4 (230K)
The Shining,1980,8.4 (1.2M)
The Great Dictator,1940,8.4 (251K)
Inglourious Basterds,2009,8.4 (1.7M)
12th Fail,2023,8.7 (155K)
Aliens,1986,8.4 (819K)
The Dark Knight Rises,2012,8.4 (1.9M)
Coco,2017,8.4 (667K)
Amadeus,1984,8.4 (454K)
Avengers: Endgame,2019,8.4 (1.4M)
Good Will Hunting,1997,8.3 (1.2M)
Toy Story,1995,8.3 (1.1M)
High and Low,1963,8.4 (63K)
Oldboy,2003,8.3 (692K)
Dr,1964,8.3 (543K)
Das Boot,1981,8.4 (282K)
Braveheart,1995,8.3 (1.1M)
Your Name,2016,8.4 (368K)
Princess Mononoke,1997,8.3 (468K)
American Beauty,1999,8.3 (1.3M)
3 Idiots,2009,8.4 (466K)
Joker,2019,8.3 (1.6M)
Capernaum,2018,8.4 (119K)
Once Upon a Time in America,1984,8.3 (399K)
Singin' in the Rain,1952,8.3 (276K)
Come and See,1985,8.3 (116K)
Requiem for a Dream,2000,8.3 (950K)
Star Wars: Episode VI - Return of the Jedi,1983,8.3 (1.2M)
Toy Story 3,2010,8.3 (943K)
The Hunt,2012,8.3 (395K)
Ikiru,1952,8.3 (99K)
Eternal Sunshine of the Spotless Mind,2004,8.3 (1.2M)
Incendies,2010,8.3 (235K)
The Apartment,1960,8.3 (212K)
Lawrence of Arabia,1962,8.3 (333K)
2001: A Space Odyssey,1968,8.3 (763K)
Reservoir Dogs,1992,8.3 (1.1M)
Scarface,1983,8.3 (982K)
Heat,1995,8.3 (772K)
Double Indemnity,1944,8.3 (177K)
North by Northwest,1959,8.3 (364K)
Up,2009,8.3 (1.2M)
M,1931,8.3 (179K)
Citizen Kane,1941,8.2 (486K)
Full Metal Jacket,1987,8.2 (832K)
Vertigo,1958,8.2 (450K)
